"Country or Area","Year","Sex","Code of City","City","City type","Value","Value Footnotes"
"Malaysia","2018","Both Sexes","028621","Bintulu Townland","City proper","138829","10"
"Malaysia","2018","Both Sexes","028629","Georgetown","City proper","224256","10"
"Malaysia","2018","Both Sexes","028630","Majlis Perbandaran Ipoh","City proper","483299","10"
"Malaysia","2018","Both Sexes","028640","MB Johor Bahru (Johor Bahru)","City proper","510788","10"
"Malaysia","2018","Both Sexes","028649","Kajang dan Sungai Chua","City proper","113053","10"
"Malaysia","2018","Both Sexes","028660","Klang","City proper","292134","10"
"Malaysia","2018","Both Sexes","028670","MP Kota Bharu","City proper","325913","10"
"Malaysia","2018","Both Sexes","028680","Kota Kinabalu","City proper","248893","10"
"Malaysia","2018","Both Sexes","028690","KUALA LUMPUR","City proper","1824323","10"
"Malaysia","2018","Both Sexes","028700","Kuala Terengganu","City proper","241583","10"
"Malaysia","2018","Both Sexes","028710","Kuantan","City proper","412022","10"
"Malaysia","2018","Both Sexes","028720","Kuching "Bandaraya Kuching Utara dan Selatan"","City proper","155675","10"
"Malaysia","2018","Both Sexes","028730","Miri Townland","City proper","153663","10"
"Malaysia","2018","Both Sexes","028740","Petaling Jaya","City proper","215152","10"
"Malaysia","2018","Both Sexes","028750","Sandakan","City proper","199648","10"
"Malaysia","2018","Both Sexes","028760","Selayang Baru","City proper","183759","10"
"Malaysia","2018","Both Sexes","028770","Seremban","City proper","378429","10"
"Malaysia","2018","Both Sexes","028780","Shah Alam","City proper","192055","10"
"Malaysia","2018","Both Sexes","028790","Sibu "Majlis Perbandaran Sibu"","City proper","190384","10"
"Malaysia","2018","Both Sexes","028791","Subang Jaya","City proper","208353","10"
"Malaysia","2018","Both Sexes","028800","Sungai Petani","City proper","199141","10"
"Malaysia","2018","Both Sexes","028810","Taiping","City proper","241470","10"
"Malaysia","2018","Both Sexes","028820","Tawau","City proper","145022","10"
"Maldives","2018","Both Sexes","028830","MALÉ","City proper","210247.93700458","11"
"Mauritius","2018","Both Sexes","028960","Beau Bassin - Rose Hill","City proper","104086","12"
"Mauritius","2018","Both Sexes","028970","PORT LOUIS","City proper","147448","12"
"Mauritius","2018","Both Sexes","028980","Vacoas - Phoenix","City proper","106022","12"
"Mexico","2018","Both Sexes","028990","Acapulco","Urban agglomeration","935273.03578273","13"
"Mexico","2018","Both Sexes","029000","Acayucan","Urban agglomeration","122232.98267267","13"
"Mexico","2018","Both Sexes","029010","Aguascalientes","Urban agglomeration","1056560.97014274","13"
"Mexico","2018","Both Sexes","029040","Apatzingán de la Constitución","Urban agglomeration","102668.106971754","13"
"Mexico","2018","Both Sexes","029100","Campeche","Urban agglomeration","298741.250009849","13"
"Mexico","2018","Both Sexes","029110","Cancún","Urban agglomeration","869664.831790213","13"
"Mexico","2018","Both Sexes","029115","Cárdenas","Urban agglomeration","106341.042141084","13"
"Mexico","2018","Both Sexes","029120","Celaya","Urban agglomeration","748825.372221844","13"
"Mexico","2018","Both Sexes","029150","Chetumal","Urban agglomeration","258538.683780946","13"
"Mexico","2018","Both Sexes","029160","Chihuahua","Urban agglomeration","979562.810742596","13"
"Mexico","2018","Both Sexes","029170","Chilpacingo de los Bravo","Urban agglomeration","321080.574632013","13"
"Mexico","2018","Both Sexes","029190","Ciudad Acuña","Urban agglomeration","147888.210573176","13"
"Mexico","2018","Both Sexes","029210","Ciudad Del Carmen","Urban agglomeration","194484.32035748","13"
"Mexico","2018","Both Sexes","029225","Ciudad Guzmán","Urban agglomeration","105539.369810709","13"
"Mexico","2018","Both Sexes","029260","Ciudad Obregón","Urban agglomeration","347857.297650996","13"
"Mexico","2018","Both Sexes","029280","Ciudad Valles","Urban agglomeration","135937.728078661","13"
"Mexico","2018","Both Sexes","029290","Ciudad Victoria","Urban agglomeration","365089.017693922","13"
"Mexico","2018","Both Sexes","029300","Coatzacoalcos","Urban agglomeration","379805.193554138","13"
"Mexico","2018","Both Sexes","029305","Colima-Villa de Álvarez","Urban agglomeration","388618.195420653","13"
"Mexico","2018","Both Sexes","029315","Comitán de Domínguez","Urban agglomeration","114135.859645339","13"
"Mexico","2018","Both Sexes","029320","Córdoba","Urban agglomeration","341041.175292691","13"
"Mexico","2018","Both Sexes","029360","Cuauhtemoc","Urban agglomeration","134524.831111515","13"
"Mexico","2018","Both Sexes","029380","Cuautla","Urban agglomeration","491749.932873721","13"
"Mexico","2018","Both Sexes","029390","Cuernavaca","Urban agglomeration","1032278.14681927","13"
"Mexico","2018","Both Sexes","029400","Culiacán Rosales","Urban agglomeration","966608.723244608","13"
"Mexico","2018","Both Sexes","029410","Delicias","Urban agglomeration","206089.996492098","13"
"Mexico","2018","Both Sexes","029420","Victoria de Durango","Urban agglomeration","660663.443584014","13"
"Mexico","2018","Both Sexes","029440","Ensenada","Urban agglomeration","542896.184677777","13"
"Mexico","2018","Both Sexes","029450","Fresnillo","Urban agglomeration","136447.506883987","13"
"Mexico","2018","Both Sexes","029470","Guadalajara","Urban agglomeration","5060750.36486189","13"
"Mexico","2018","Both Sexes","029490","Guanajuato","Urban agglomeration","187489.814798544","13"
"Mexico","2018","Both Sexes","029500","Guaymas","Urban agglomeration","231206.071019512","13"
"Mexico","2018","Both Sexes","029520","Hermosillo","Urban agglomeration","907233.481161984","13"
"Mexico","2018","Both Sexes","029530","Hidalgo del Parral","Urban agglomeration","124394.859305635","13"
"Mexico","2018","Both Sexes","029540","Iguala de la Independencia","Urban agglomeration","122789.895183748","13"
"Mexico","2018","Both Sexes","029550","Irapuato","Urban agglomeration","420701.54117219","13"
"Mexico","2018","Both Sexes","029610","Juárez","Urban agglomeration","1462133.34031087","13"
"Mexico","2018","Both Sexes","029615","La Laguna","Urban agglomeration","1417538.08280383","13"
"Mexico","2018","Both Sexes","029635","La Paz","Urban agglomeration","313203.618040315","13"
"Mexico","2018","Both Sexes","029640","La Piedad-Pénjamo","Urban agglomeration","266495.149420144","13"
"Mexico","2018","Both Sexes","029645","Lagos de Moreno","Urban agglomeration","109186.39535666","13"
"Mexico","2018","Both Sexes","029650","Ciudad Lázaro Cárdenas","Urban agglomeration","145394.270137253","13"
"Mexico","2018","Both Sexes","029660","León","Urban agglomeration","1757811.42395644","13"
"Mexico","2018","Both Sexes","029670","Los Mochis","Urban agglomeration","294683.663697407","13"
"Mexico","2018","Both Sexes","029690","Manzanillo","Urban agglomeration","165808.510142837","13"
"Mexico","2018","Both Sexes","029700","Matamoros","Urban agglomeration","542609.039289152","13"
"Mexico","2018","Both Sexes","029710","Mazatlán","Urban agglomeration","492419.887034297","13"
"Mexico","2018","Both Sexes","029720","Mérida","Urban agglomeration","1196519.71527993","13"
"Mexico","2018","Both Sexes","029740","Mexicali","Urban agglomeration","1065882.36661275","13"
"Mexico","2018","Both Sexes","029750","MEXICO, CIUDAD DE","Urban agglomeration","21800319.66967","13"
"Mexico","2018","Both Sexes","029770","Minatitlán","Urban agglomeration","387131.125612201","13"
"Mexico","2018","Both Sexes","029780","Monclova-Frontera","Urban agglomeration","374058.380630511","13"
"Mexico","2018","Both Sexes","029790","Monterrey","Urban agglomeration","4834970.59583854","13"
"Mexico","2018","Both Sexes","029800","Morelia","Urban agglomeration","908203.343542261","13"
"Mexico","2018","Both Sexes","029810","Moroleón Uriangato","Urban agglomeration","115792.986534525","13"
"Mexico","2018","Both Sexes","029840","Navojoa","Urban agglomeration","130445.927677549","13"
"Mexico","2018","Both Sexes","029860","Heroica Nogales","Urban agglomeration","256387.381276557","13"
"Mexico","2018","Both Sexes","029870","Nuevo Laredo","Urban agglomeration","428926.501677091","13"
"Mexico","2018","Both Sexes","029880","Oaxaca","Urban agglomeration","683127.835833311","13"
"Mexico","2018","Both Sexes","029890","Ocotlán","Urban agglomeration","179112.508691471","13"
"Mexico","2018","Both Sexes","029900","Orizaba","Urban agglomeration","463766.843798628","13"
"Mexico","2018","Both Sexes","029910","Pachuca","Urban agglomeration","594972.419265193","13"
"Mexico","2018","Both Sexes","029920","Piedras Negras","Urban agglomeration","197488.16449147","13"
"Mexico","2018","Both Sexes","029925","Playa del Carmen","Urban agglomeration","214733.988275394","13"
"Mexico","2018","Both Sexes","029930","Poza Rica","Urban agglomeration","548859.117211766","13"
"Mexico","2018","Both Sexes","029940","Puebla-Tlaxcala","Urban agglomeration","3046765.55915237","13"
"Mexico","2018","Both Sexes","029950","Puerto Vallarta","Urban agglomeration","469204.284452303","13"
"Mexico","2018","Both Sexes","029960","Querétaro","Urban agglomeration","1337685.86854382","13"
"Mexico","2018","Both Sexes","029970","Reynosa-Río Bravo","Urban agglomeration","843967.955210713","13"
"Mexico","2018","Both Sexes","029980","Rioverde-Ciudad Fernández","Urban agglomeration","146908.415106096","13"
"Mexico","2018","Both Sexes","029990","Salamanca","Urban agglomeration","173831.178789098","13"
"Mexico","2018","Both Sexes","030000","Saltillo","Urban agglomeration","935662.999312333","13"
"Mexico","2018","Both Sexes","030010","San Cristóbal de las Casas","Urban agglomeration","179647.920580509","13"
"Mexico","2018","Both Sexes","030030","San Francisco del Rincón","Urban agglomeration","200317.625247271","13"
"Mexico","2018","Both Sexes","030033","San José del Cabo","Urban agglomeration","105368.524862019","13"
"Mexico","2018","Both Sexes","030035","San Juan Bautista Tuxtepec","Urban agglomeration","114259.424508634","13"
"Mexico","2018","Both Sexes","030040","San Juan del Río","Urban agglomeration","157552.44420179","13"
"Mexico","2018","Both Sexes","030050","San Luis Potosí-Soledad de Graciano Sánchez","Urban agglomeration","1188220.98650622","13"
"Mexico","2018","Both Sexes","030060","San Luis Rio Colorado","Urban agglomeration","182121.159104509","13"
"Mexico","2018","Both Sexes","030120","Tampico","Urban agglomeration","955119.499949038","13"
"Mexico","2018","Both Sexes","030130","Tapachula de Cordova y Ordoñez","Urban agglomeration","369197.534431283","13"
"Mexico","2018","Both Sexes","030140","Tecomán","Urban agglomeration","164540.603555013","13"
"Mexico","2018","Both Sexes","030150","Tehuacán","Urban agglomeration","329094.077879867","13"
"Mexico","2018","Both Sexes","030155","Tehuantepec","Urban agglomeration","180296.080657155","13"
"Mexico","2018","Both Sexes","030157","Tepatitlán De Morelos","Urban agglomeration","103284.050690618","13"
"Mexico","2018","Both Sexes","030160","Tepic","Urban agglomeration","512386.06999174","13"
"Mexico","2018","Both Sexes","030175","Teziutlán","Urban agglomeration","135074.227857941","13"
"Mexico","2018","Both Sexes","030178","Tianguistenco","Urban agglomeration","188473.699804948","13"
"Mexico","2018","Both Sexes","030180","Tijuana","Urban agglomeration","2024993.64718635","13"
"Mexico","2018","Both Sexes","030230","Tlaxcala","Urban agglomeration","568140.099560412","13"
"Mexico","2018","Both Sexes","030240","Toluca","Urban agglomeration","2386156.70356826","13"
"Mexico","2018","Both Sexes","030270","Tula","Urban agglomeration","227414.887420413","13"
"Mexico","2018","Both Sexes","030280","Tulancingo","Urban agglomeration","272228.073011399","13"
"Mexico","2018","Both Sexes","030290","Túxpan de Rodríguez Cano","Urban agglomeration","118893.928218149","13"
"Mexico","2018","Both Sexes","030300","Tuxtla Gutiérrez","Urban agglomeration","853518.480647792","13"
"Mexico","2018","Both Sexes","030310","Uruapan","Urban agglomeration","301766.045768556","13"
"Mexico","2018","Both Sexes","030330","Veracruz","Urban agglomeration","906975.927132464","13"
"Mexico","2018","Both Sexes","030370","Villahermosa","Urban agglomeration","851925.174253844","13"
"Mexico","2018","Both Sexes","030380","Xalapa","Urban agglomeration","787443.375272472","13"
"Mexico","2018","Both Sexes","030410","Zacatecas-Guadalupe","Urban agglomeration","377667.629049947","13"
"Mexico","2018","Both Sexes","030420","Zamora-Jacona","Urban agglomeration","266903.906690486","13"
"Mongolia","2018","Both Sexes","030411","Orkhon","City proper","104992",""
"Mongolia","2018","Both Sexes","030442","Bayan-Olgii","City proper","103847",""
"Mongolia","2018","Both Sexes","030443","Darkhan-Uul","City proper","104999",""
"Mongolia","2018","Both Sexes","030445","Hovsgol","City proper","132763",""
"Mongolia","2018","Both Sexes","030446","Ovorhangay","City proper","116105",""
"Mongolia","2018","Both Sexes","030448","Selenge","City proper","110504",""
"Mongolia","2018","Both Sexes","030450","ULAANBAATAR","City proper","1477174",""
"New Zealand","2018","Both Sexes","031410","Auckland","City proper","1695900","14,15,16"
"New Zealand","2018","Both Sexes","031420","Christchurch","City proper","388500","14,15,16"
"New Zealand","2018","Both Sexes","031420","Christchurch","Urban agglomeration","404600","14,15,16"
"New Zealand","2018","Both Sexes","031430","Dunedin","City proper","130700","14,15,16"
"New Zealand","2018","Both Sexes","031440","Hamilton","City proper","169300","14,15,16"
"New Zealand","2018","Both Sexes","031440","Hamilton","Urban agglomeration","241200","14,15,16"
"New Zealand","2018","Both Sexes","031450","Lower Hutt","City proper","105900","14,15,16"
"New Zealand","2018","Both Sexes","031470","Napier-Hastings","Urban agglomeration","134500","14,15,16"
"New Zealand","2018","Both Sexes","031490","Tauranga","City proper","135000","14,15,16"
"New Zealand","2018","Both Sexes","031490","Tauranga","Urban agglomeration","141600","14,15,16"
"New Zealand","2018","Both Sexes","031520","WELLINGTON","City proper","216300","14,15,16"
"New Zealand","2018","Both Sexes","031520","WELLINGTON","Urban agglomeration","418500","14,15,16"
"Panama","2018","Both Sexes","033040","Ciudad de Colon","City proper","41019","17"
"Panama","2018","Both Sexes","033060","CIUDAD DE PANAMÁ","City proper","481993","17"
"Panama","2018","Both Sexes","033060","CIUDAD DE PANAMÁ","Urban agglomeration","1107085","17"
"Panama","2018","Both Sexes","033070","San Miguelito","City proper","370009","17"
"San Marino","2018","Both Sexes","036960","SAN MARINO","City proper","4127",""
"Singapore","2018","Both Sexes","037500","SINGAPORE","City proper","5638676","18,19"
"Ukraine","2018","Both Sexes","040910","Alchevsk","City proper","107542",""
"Ukraine","2018","Both Sexes","040930","Bila Tserkva","City proper","205247",""
"Ukraine","2018","Both Sexes","040940","Berdyansk","City proper","111955",""
"Ukraine","2018","Both Sexes","040940","Berdyansk","Urban agglomeration","114999",""
"Ukraine","2018","Both Sexes","040950","Cherkasy","City proper","275469",""
"Ukraine","2018","Both Sexes","040950","Cherkasy","Urban agglomeration","276363",""
"Ukraine","2018","Both Sexes","040960","Chernihiv","City proper","283579",""
"Ukraine","2018","Both Sexes","040970","Chernivtsi","City proper","261924",""
"Ukraine","2018","Both Sexes","040980","Dniprodzerzhynsk","City proper","234516",""
"Ukraine","2018","Both Sexes","040980","Dniprodzerzhynsk","Urban agglomeration","241432",""
"Ukraine","2018","Both Sexes","040990","Dnepropetrovsk","City proper","990381",""
"Ukraine","2018","Both Sexes","040990","Dnepropetrovsk","Urban agglomeration","992812",""
"Ukraine","2018","Both Sexes","041000","Donets'k","City proper","910252",""
"Ukraine","2018","Both Sexes","041000","Donets'k","Urban agglomeration","926086",""
"Ukraine","2018","Both Sexes","041010","Enakievo (Yenakievo)","City proper","78867",""
"Ukraine","2018","Both Sexes","041010","Enakievo (Yenakievo)","Urban agglomeration","106873",""
"Ukraine","2018","Both Sexes","041030","Gorlivka","City proper","243536",""
"Ukraine","2018","Both Sexes","041030","Gorlivka","Urban agglomeration","260223",""
"Ukraine","2018","Both Sexes","041040","Ivano-Frankivsk","City proper","232502",""
"Ukraine","2018","Both Sexes","041040","Ivano-Frankivsk","Urban agglomeration","254696",""
"Ukraine","2018","Both Sexes","041055","Kamenets Podolsky","City proper","99577",""
"Ukraine","2018","Both Sexes","041070","Kharkiv","City proper","1430515",""
"Ukraine","2018","Both Sexes","041080","Kherson","City proper","287826",""
"Ukraine","2018","Both Sexes","041080","Kherson","Urban agglomeration","324888",""
"Ukraine","2018","Both Sexes","041090","Khmelnitsky (Hmilnyk)","City proper","265583",""
"Ukraine","2018","Both Sexes","041100","KYIV","City proper","2893215",""
"Ukraine","2018","Both Sexes","041110","Kirovograd","City proper","225489",""
"Ukraine","2018","Both Sexes","041110","Kirovograd","Urban agglomeration","233509",""
"Ukraine","2018","Both Sexes","041140","Kramatorsk","City proper","155155",""
"Ukraine","2018","Both Sexes","041140","Kramatorsk","Urban agglomeration","188096",""
"Ukraine","2018","Both Sexes","041150","Krasny Lutch","City proper","80602",""
"Ukraine","2018","Both Sexes","041150","Krasny Lutch","Urban agglomeration","120539",""
"Ukraine","2018","Both Sexes","041160","Krementchug","City proper","220271",""
"Ukraine","2018","Both Sexes","041170","Krivoy Rog","City proper","628181",""
"Ukraine","2018","Both Sexes","041170","Krivoy Rog","Urban agglomeration","630941",""
"Ukraine","2018","Both Sexes","041180","Lugansk","City proper","403254",""
"Ukraine","2018","Both Sexes","041180","Lugansk","Urban agglomeration","429077",""
"Ukraine","2018","Both Sexes","041190","Luts'k","City proper","213422",""
"Ukraine","2018","Both Sexes","041200","Lviv","City proper","720105",""
"Ukraine","2018","Both Sexes","041200","Lviv","Urban agglomeration","750044",""
"Ukraine","2018","Both Sexes","041210","Lysychansk","City proper","97935",""
"Ukraine","2018","Both Sexes","041210","Lysychansk","Urban agglomeration","112489",""
"Ukraine","2018","Both Sexes","041220","Makijivka","City proper","343102",""
"Ukraine","2018","Both Sexes","041220","Makijivka","Urban agglomeration","380789",""
"Ukraine","2018","Both Sexes","041230","Mariupol","City proper","441098",""
"Ukraine","2018","Both Sexes","041230","Mariupol","Urban agglomeration","462319",""
"Ukraine","2018","Both Sexes","041240","Melitopol","City proper","153839",""
"Ukraine","2018","Both Sexes","041250","Nikolaev","City proper","481760",""
"Ukraine","2018","Both Sexes","041260","Nikopol","City proper","114156",""
"Ukraine","2018","Both Sexes","041270","Odessa","City proper","993831",""
"Ukraine","2018","Both Sexes","041280","Pavlograd","City proper","107127",""
"Ukraine","2018","Both Sexes","041290","Poltava","City proper","282523",""
"Ukraine","2018","Both Sexes","041300","Rivne","City proper","243152",""
"Ukraine","2018","Both Sexes","041330","Sievierodonetsk","City proper","104828",""
"Ukraine","2018","Both Sexes","041330","Sievierodonetsk","Urban agglomeration","115013",""
"Ukraine","2018","Both Sexes","041350","Slovyansk","City proper","109374",""
"Ukraine","2018","Both Sexes","041350","Slovyansk","Urban agglomeration","112479",""
"Ukraine","2018","Both Sexes","041360","Stakhanov","City proper","75118",""
"Ukraine","2018","Both Sexes","041360","Stakhanov","Urban agglomeration","89025",""
"Ukraine","2018","Both Sexes","041370","Sumy","City proper","263681",""
"Ukraine","2018","Both Sexes","041370","Sumy","Urban agglomeration","266550",""
"Ukraine","2018","Both Sexes","041380","Ternopil","City proper","217171",""
"Ukraine","2018","Both Sexes","041390","Uzhhorod","City proper","112436",""
"Ukraine","2018","Both Sexes","041400","Vinnitsa","City proper","370017",""
"Ukraine","2018","Both Sexes","041410","Zaporozhye","City proper","741496",""
"Ukraine","2018","Both Sexes","041420","Zhytomyr","City proper","265679",""
"Uruguay","2018","Both Sexes","048790","MONTEVIDEO","City proper","1381946.48006258","13,20"
"Uzbekistan","2018","Both Sexes","048830","Almalyk","Urban agglomeration","127468","9"
"Uzbekistan","2018","Both Sexes","048840","Andizhan","City proper","427447","9"
"Uzbekistan","2018","Both Sexes","048850","Angren","Urban agglomeration","183563","9"
"Uzbekistan","2018","Both Sexes","048860","Jizzax","City proper","171734","9"
"Uzbekistan","2018","Both Sexes","048870","Bukhara","City proper","276433","9"
"Uzbekistan","2018","Both Sexes","048880","Chirchik","Urban agglomeration","154584","9"
"Uzbekistan","2018","Both Sexes","048890","Fergana","City proper","278510","9"
"Uzbekistan","2018","Both Sexes","048900","Karshi","City proper","267561","9"
"Uzbekistan","2018","Both Sexes","048910","Kokand","Urban agglomeration","245509","9"
"Uzbekistan","2018","Both Sexes","048920","Margilan","Urban agglomeration","201669","9"
"Uzbekistan","2018","Both Sexes","048930","Namangan","City proper","600209","9"
"Uzbekistan","2018","Both Sexes","048940","Navoi","City proper","135548","9"
"Uzbekistan","2018","Both Sexes","048950","Nukus","City proper","310945","9"
"Uzbekistan","2018","Both Sexes","048960","Samarkand","City proper","529633","9"
"Uzbekistan","2018","Both Sexes","048965","Shahrisabz","Urban agglomeration","134531","9"
"Uzbekistan","2018","Both Sexes","048970","TASHKENT","City proper","2464933","9"
"Uzbekistan","2018","Both Sexes","048980","Termez","City proper","143790","9"
"Uzbekistan","2018","Both Sexes","048990","Urgentch","City proper","140180","9"

"footnoteSeqID","Footnote"
"1","Population statistics are compiled from registers."
"2","The “City proper” uses the geographic definition of Census Subdivision (CSD): Census subdivision (CSD) is the general term for municipalities (as determined by provincial/territorial legislation) or areas treated as municipal equivalents for statistical purposes. The “Urban Agglomeration” uses the geographic definition of Census Metropolitan Area\Census Agglomeration (CMA\CA)."
"3","Adjusted for census net undercoverage (including adjustment for incompletely enumerated Indian reserves)."
"4","Preliminary postcensal estimates."
"5","Data is based on estimates and population projections."
"6","Data refers to "cantons" rather than to cities."
"7","Excluding Faeroe Islands and Greenland shown separately, if available."
"8","Data based on the 2011 Census."
"9","Data refer to resident population."
"10","Estimates based on the adjusted results of the Population and Housing Census of 2010."
"11","Data refer to resident population which includes resident Maldivians and resident foreigners."
"12","Excludes the islands of St. Brandon and Agalega."
"13","Data refer to national projections."
"14","Because of rounding, totals are not in all cases the sum of the respective components."
"15","1. Land area excludes inlet, inland water and oceanic areas. 
2. A city is a territorial authority which is a distinct entity, is predominantly urban in character, has a minimum population of 50,000 and is a major centre of activity within its parent region.  
3. Urban agglomerations refer to main urban areas that are centres with populations of 30,000 or more. Since 2011 Auckland includes Manukau city, North Shore city, and Waktakere city and Wellington urban area includes Lower Hutt. Napier-Hastings consist of two separate territorial authorities. Napier is a city, while Hastings is a district based on the New Zealand Standard Areas Classification."
"16","Intercensal estimates."
"17","Data based on the 2010 Population Census."
"18","Data refer to total population, which comprises Singapore residents and non-residents."
"19","Data exclude residents who have been away from Singapore for a continuous period of 12 months or longer as at the reference date."
"20","Data refer to the department of Montevideo."
